index,score,threshold,prediction,attack
492,144807.328125,45.028438568115234,1,0
493,144781.453125,45.028438568115234,1,0
494,144766.375,45.028438568115234,1,0
495,144756.0625,45.028438568115234,1,0
496,144756.234375,45.028438568115234,1,0
497,144730.59375,45.028438568115234,1,0
498,144712.015625,45.028438568115234,1,0
499,144701.234375,45.028438568115234,1,0
500,144681.765625,45.028438568115234,1,0
501,144668.375,45.028438568115234,1,1
502,144824.28125,45.028438568115234,1,1
503,144989.265625,45.028438568115234,1,1
504,145074.53125,45.028438568115234,1,1
505,145061.875,45.028438568115234,1,1
506,145037.375,45.028438568115234,1,1
507,144957.46875,45.028438568115234,1,0
508,144920.40625,45.028438568115234,1,0
509,144918.546875,45.028438568115234,1,0
510,144883.828125,45.028438568115234,1,0
511,144879.03125,45.028438568115234,1,0
512,144828.828125,45.028438568115234,1,0
513,132262.03125,45.028438568115234,1,0
514,141047.71875,45.028438568115234,1,0
515,143149.25,45.028438568115234,1,0
516,143839.875,45.028438568115234,1,0
517,143667.171875,45.028438568115234,1,1
518,142578.53125,45.028438568115234,1,1
519,142558.65625,45.028438568115234,1,1
520,142525.46875,45.028438568115234,1,1
521,142503.734375,45.028438568115234,1,1
522,142502.6875,45.028438568115234,1,1
523,142469.90625,45.028438568115234,1,0
524,142420.4375,45.028438568115234,1,0
525,142367.78125,45.028438568115234,1,0
526,142335.015625,45.028438568115234,1,0
527,142309.875,45.028438568115234,1,0
528,142288.53125,45.028438568115234,1,0
529,142292.265625,45.028438568115234,1,0
530,142287.5625,45.028438568115234,1,0
531,144876.921875,45.028438568115234,1,0
532,145874.234375,45.028438568115234,1,1
533,555097.875,45.028438568115234,1,0
534,148492.71875,45.028438568115234,1,0
535,167140.578125,45.028438568115234,1,0
536,159157.53125,45.028438568115234,1,0
537,173872.671875,45.028438568115234,1,0
538,175000.171875,45.028438568115234,1,0
539,176142.921875,45.028438568115234,1,0
540,176172.28125,45.028438568115234,1,0
541,174563.859375,45.028438568115234,1,0
542,174077.640625,45.028438568115234,1,1
543,725769.0625,45.028438568115234,1,1
544,50398.9765625,45.028438568115234,1,0
545,104762.6796875,45.028438568115234,1,0
546,122946.5546875,45.028438568115234,1,0
547,124012.8125,45.028438568115234,1,0
548,72608.6015625,45.028438568115234,1,0
549,72608.40625,45.028438568115234,1,0
550,72609.1484375,45.028438568115234,1,0
551,72609.09375,45.028438568115234,1,0
552,999999.9375,45.028438568115234,1,1
553,1086423.75,45.028438568115234,1,0
554,163290.6875,45.028438568115234,1,0
555,80443.875,45.028438568115234,1,0
556,85496.0,45.028438568115234,1,0
557,69613.9453125,45.028438568115234,1,0
558,54792.09375,45.028438568115234,1,0
559,54815.92578125,45.028438568115234,1,0
560,54829.80078125,45.028438568115234,1,0
561,54841.89453125,45.028438568115234,1,0
562,54846.08984375,45.028438568115234,1,1
563,54847.76171875,45.028438568115234,1,1
564,53906.46875,45.028438568115234,1,1
565,55827.296875,45.028438568115234,1,1
566,55957.70703125,45.028438568115234,1,0
567,55994.32421875,45.028438568115234,1,0
568,58181.109375,45.028438568115234,1,0
569,59115.42578125,45.028438568115234,1,0
570,64473.4609375,45.028438568115234,1,0
571,61966.35546875,45.028438568115234,1,0
572,61679.43359375,45.028438568115234,1,0
573,58762.7265625,45.028438568115234,1,0
574,56903.13671875,45.028438568115234,1,0
575,56164.5234375,45.028438568115234,1,1
576,50216.18359375,45.028438568115234,1,1
577,50237.73828125,45.028438568115234,1,1
578,50246.76171875,45.028438568115234,1,1
579,50254.734375,45.028438568115234,1,0
580,49001.8046875,45.028438568115234,1,0
581,48797.25390625,45.028438568115234,1,0
582,48341.1015625,45.028438568115234,1,0
583,48009.96875,45.028438568115234,1,0
584,48183.453125,45.028438568115234,1,0
585,48187.671875,45.028438568115234,1,0
586,48188.5234375,45.028438568115234,1,0
587,48188.23828125,45.028438568115234,1,1
588,48188.6015625,45.028438568115234,1,1
589,48189.05078125,45.028438568115234,1,1
590,48704.94140625,45.028438568115234,1,1
591,48856.58984375,45.028438568115234,1,1
